"000c_the_summer_before" "001c_kristys_great_idea" "002c_claudia_and_the_phantom_phone_calls" "003c_the_truth_about_stacey" "004c_mary_anne_saves_the_day" "005c_dawn_and_the_impossible_three" "006c_kristys_big_day" "007c_claudia_and_mean_jeanine" "008c_boy_crazy_stacey" "009c_the_ghost_at_dawns_house" "010c_logan_likes_mary_anne" "011c_kristy_and_the_snobs" "012c_claudia_and_the_new_girl" "013c_goodbye_stacey_goodbye" "014c_hello_mallory" "015c_little_miss_stoneybrook_and_dawn" "016c_jessis_secret_language" "017c_mary_annes_bad_luck_mystery" "018c_staceys_mistake" "019c_claudia_and_the_bad_joke" "020c_kristy_and_the_walking_disaster" "021c_mallory_and_the_trouble_with_twins" "022c_jessi_ramsey_petsitter" "023c_dawn_on_the_coast" "024c_kristy_and_the_mothers_day_surprise" "025c_mary_anne_and_the_search_for_tigger" "026c_claudia_and_the_sad_goodbye" "027c_jessi_and_the_superbrat" "028c_welcome_back_stacey" "029c_mallory_and_the_mystery_diary" "030c_mary_anne_and_the_great_romance" "031c_dawns_wicked_stepsister" "032c_kristy_and_the_secret_of_susan" "033c_claudia_and_the_great_search" "034c_mary_anne_and_too_many_boys" "035c_stacey_and_the_mystery_of_stoneybrook" "036c_jessis_babysitter" "037c_dawn_and_the_older_boy" "038c_kristys_mystery_admirer" "039c_poor_mallory" "040c_claudia_and_the_middle_school_mystery" "041c_mary_anne_vs_logan" "042c_jessi_and_the_dance_school_phantom" "043c_staceys_emergency" "044c_dawn_and_the_big_sleepover" "045c_kristy_and_the_baby_parade" "046c_mary_anne_misses_logan" "047c_mallory_on_strike" "048c_jessis_wish" "049c_claudia_and_the_genius_of_elm_street" "050c_dawns_big_date" "051c_staceys_ex_best_friend" "052c_mary_anne_plus_too_many_babies" "053c_kristy_for_president" "054c_mallory_and_the_dream_horse" "055c_jessis_gold_medal" "056c_keep_out_claudia" "057c_dawn_saves_the_planet" "058c_staceys_choice" "059c_mallory_hates_boys_and_gym" "060c_mary_annes_makeover" "061c_jessi_and_the_awful_secret" "062c_kristy_and_the_worst_kid_ever" "063c_claudias_freind_friend" "064c_dawns_family_feud" "065c_staceys_big_crush" "066c_maid_mary_anne" "067c_dawns_big_move" "068c_jessi_and_the_bad_babysitter" "069c_get_well_soon_mallory" "070c_stacey_and_the_cheerleaders" "071c_claudia_and_the_perfect_boy"
"it" 0.962650891707232 1.29323723143773 1.33438529088913 1.08812551401278 1.21787044863968 1.22634221707223 1.01042218689278 1.14925647145218 1.12748682033324 1.51776221725263 1.07333183216993 1.05673170555776 1.2436815884214 1.10843010104057 1.17096018735363 1.15608992601024 1.14698691212426 1.48167898225032 1.14633508830888 1.44137683757619 1.15211654959676 0.916520278011151 1.03268312543954 1.38806501364337 1.1030231003491 1.07459610642918 1.40784830879994 1.22743140272512 1.03754571919086 1.414286283415 1.15851214980509 1.29784183242031 0.932288377966794 0.970695297275435 1.33800573431029 1.59305881516251 1.16607910742649 1.26986662407156 1.05422800917363 0.871028037383178 1.39054277263473 1.03049820041675 1.53297582615043 1.03166642785499 1.30113702965655 1.35900745840505 0.951092064208112 1.25781977904965 0.850537384984149 1.27644894204232 1.54493927125506 0.919269298762522 0.870810434244137 1.43383273143348 1.18337376253852 1.413753645122 0.836212311557789 1.30739683546534 0.99190811798486 1.66197082634901 1.54515863367191 1.17084133831152 1.2960235640648 1.59383954154728 1.20603828564491 1.241768579492 1.55246954015459 1.27833777468814 1.05498602050326 1.2592759163481 1.33034322855297 1.45968489341983
"in" 1.16129313920237 0.910439010932165 1.14228869374314 1.02169924716898 0.986193293885602 1.1297798377752 1.03161985514927 1.04277583991188 1.05437334051641 1.26480184771053 0.979509119567665 1.00263281278176 1.00730935670388 1.12351078268738 1.01483216237315 1.13118952760387 1.15058248238171 1.08935781214291 1.21728090810649 1.15095016134815 0.843646634704724 1.03490414725426 1.05859273790576 1.34456440068019 0.935898388174998 1.11139734295072 1.02648180489717 1.16361998423483 1.14577890572516 1.16728417194534 1.12572407009363 1.19122026545094 1.06600304572299 1.17292348420782 1.08314749920357 1.06678045658204 1.15058303955371 1.06620876926763 0.965450913664275 1.08411214953271 1.03714516190988 0.99261223716613 1.10902097313081 1.10330992978937 1.11749306450983 1.03628800917958 1.04507349347769 1.23452682017836 0.966519755663806 1.12312174179699 1.0914979757085 0.966411314083677 1.11850762442914 0.951120963993278 1.15714941323018 1.23288176885312 0.859767587939699 1.07833809070726 1.07767460938957 1.15909982524341 1.00396093964469 1.15271685939029 1.07020127638684 1.05659025787966 1.12104901048201 1.04609595484478 1.08410847635268 1.0775112964894 1.09226467847158 1.27051945131549 1.13649321524953 1.02277240831458
"that" 1.22241383073934 0.951822602338173 1.04281009879254 1.04067818055292 1.02063178986256 0.923780095274881 0.840840840840841 0.958325683862677 0.746527109708701 0.868863877992448 0.814381145387675 0.941320734302305 1.02549183606677 0.961393454984165 1.10850897736144 1.19877632327832 1.30878757370919 1.0626952083492 0.84014786602442 0.978845464324131 0.992306834652693 0.935614450469717 0.962357034459785 1.09542452643651 0.887617915769145 0.945791778603761 1.1084577823716 1.20866333846327 1.08233186534299 1.13939683677941 1.15486902983715 1.12504136181477 1.09200312000891 1.06629407655256 0.935807582032494 1.45793329066211 1.05373261534886 1.14607459468094 1.00983946141895 1.05420560747664 1.59797180501671 1.18204205341921 1.55824465844962 1.3397334861728 0.961200328214746 1.46299483648881 1.04883275064847 0.984959403700253 0.981984071754427 1.02729224164367 1.02995951417004 0.828913769396975 0.882421240034058 0.936818393106161 0.957188749754147 0.904359381344358 1.05998743718593 1.15234168516757 0.779356378416676 1.06280537822319 1.01572610690615 1.02584550694168 0.706921944035346 1.01361031518625 1.14533166052855 0.842897460018815 0.930171623214988 0.760823388560615 0.987884436160298 1.06813582190241 0.843817704967882 1.04594200979743
"t" 1.04560040165026 1.13115149843087 0.881586169045006 1.18618333649649 1.0237625622241 1.0010299987125 0.77371489136195 0.995043143014503 0.888905991457267 1.18781390915423 1.09960219169857 1.02427236989216 1.1164042328812 0.942542602925652 1.09289617486339 1.09206033010814 1.04271537465842 1.08554886874381 0.881221761696725 1.17246324847616 0.925409744676107 1.00053463682884 1.06229411111522 0.628781587376913 0.880190150783629 0.993633386081772 1.07638022596856 0.837055666078601 1.07113532880496 1.10354169156607 0.990928631279828 1.17651384242068 1.05857445306987 1.13983159907343 1.05129021981523 0.839200625844534 1.17770115833107 1.08617522562096 1.0653251461123 1.25233644859813 1.35981254561518 1.0645955673423 1.04725271639947 1.15346038114343 0.85179541280819 0.8785140562249 1.01124017894064 0.712099028350858 1.0013144668677 0.847132781355412 1.26963562753036 1.19033588685916 1.22300487653843 1.06554153109021 0.786730479249984 0.919124432468347 1.12280150753769 0.722416041160094 0.984450162210538 1.22686258425764 1.13337777952077 1.20709029615399 0.890198003600065 1.09240687679083 0.97130600186167 0.925682031984948 1.0873837285471 0.87282277063299 1.19664492078285 0.858256502511056 1.01866281500627 1.21474910631537
"said" 0.890615790967235 1.24840500741456 1.05996158068057 1.14189915860062 0.873485488870104 0.914123857345178 1.12347641759406 1.23370662750138 0.996652172239966 1.05216849360267 0.979509119567665 0.934107548598839 0.854576530055638 0.85205851304479 1.13583138173302 0.914200341491178 0.686753919171581 0.94461796297707 0.843881856540084 0.892793115812119 0.702419444754153 0.908882609027725 0.947551541621942 1.26942697828924 0.883904033276387 0.861148934604203 0.702142067933136 1.17488082279194 0.776293199970143 0.952153300665312 0.888921272177493 0.933857862421413 0.95457415592616 0.805235871603486 0.979611341191462 0.60806486025176 0.964630225080386 0.958389904959668 0.998742324480284 1.20373831775701 1.25993930780164 0.863799962114037 1.1679815818289 0.913454649663275 1.13312233813933 1.22274813539874 0.811999548889139 0.59563423399441 0.796412278666976 1.30328120208525 1.0753036437247 0.931054802592811 0.975307686353433 1.12632745736046 0.517930898839573 1.11845262264221 1.13457914572864 0.821087500440498 0.853935936159899 0.791754342166268 1.13729950194125 0.898974154493058 1.54802814596629 1.27865329512894 1.0401068436602 0.89934148635936 1.36250491287829 0.876684818290658 1.12581547064306 0.903230642380631 0.676574556235509 0.963193433072951
"her" 0.739996943965423 0.84146635858882 0.806119648737651 0.812930979945594 1.14273191196268 0.926998841251448 0.731319554848967 1.48705709564898 0.577211682764459 0.560912123767277 0.716805524281318 0.876402062971111 0.883668497036256 0.965163625395868 0.917252146760344 1.1703187250996 0.866532432043722 0.636093547649882 0.765468055711139 1.17246324847616 0.546326234808786 0.855418926143741 0.869822704223267 0.870012259263653 0.991606625566367 0.76546571964818 1.43636169226931 0.728200893359859 0.806150630738225 0.896378630333453 1.06379103063864 1.04783264090592 1.39657541878691 1.14350847519947 1.28225549538069 1.04188891259512 0.883275868748305 0.818624710486383 0.628837759857957 0.85607476635514 0.879652748434679 1.02670960409168 1.12867450936351 0.87405072359937 0.789278318290157 1.23709122203098 0.98492537874516 1.22121655796619 1.15595762777391 1.30328120208525 0.774089068825911 0.9428403064231 1.03723198389968 0.890335037723031 1.32760768373435 0.826842862943413 1.05606155778894 0.933854882475244 0.89122571503151 0.745390349156532 0.701988313267187 1.44270852212999 1.40402552773687 0.734240687679083 0.874175401675503 0.921919096895579 0.828638805187999 0.737651102614606 1.76328052190121 0.865752192489319 0.752594169295678 0.814245994968886
"we" 0.657047434022396 0.982860295892679 0.758095499451153 1.46454102612767 0.870354716508563 0.907686365392043 0.9468291821233 0.973012667523407 1.35452341555393 0.945851816548741 1.1258725512272 0.937714141450572 0.669115240554202 1.1612124868044 0.967993754879001 0.754126351735913 0.697540629943909 1.15791879332673 1.6429558268922 0.692004302617426 0.810198089716431 1.06927365767968 1.08820372358145 0.913512872226836 1.45955581965387 1.04883524086409 0.766297180739209 0.55553470215082 0.74643576920206 0.88442691526234 1.14758278990127 0.827236295452039 0.646287560821602 0.606684560797147 0.844217903791016 1.01344143375293 0.875527834811916 0.730772302531747 0.861877635570023 0.938317757009346 0.576191756616602 0.92062890698996 0.628913159446332 0.608969766442184 0.840073457586059 1.11158921399885 0.921018006841848 0.588979102888327 0.645635196783422 0.640141061024226 0.647773279352227 0.813199764289923 1.13011843021906 0.747309328851861 0.540877204484364 0.941272009154332 1.05213567839196 1.07129012933009 0.723421710109259 0.47790577410036 0.549041138868191 0.558233950773915 0.844378988708886 0.694842406876791 1.31935731919543 0.677328316086548 0.926896371020569 0.861236627659985 1.02143522833178 1.16183194663069 0.668972594929492 0.5891698662783
"my" 1.65462443517932 0.71386695175363 0.823271130625686 0.673752135130006 1.03628565167027 0.540749324063345 0.819643172584349 0.631540297411419 0.573363604879363 0.744216739377498 0.848157321924491 0.609514191942872 1.09822175351831 0.950082943749057 0.694769711163154 0.576266363118953 0.665180497626924 0.750361849622915 0.926029647884694 1.06848332735748 0.609506819786673 0.591919346215535 0.484879890439353 0.933285878119192 0.672212731189185 0.658742133735694 1.06568770716755 0.882099020307046 1.32492349033366 0.466116887773395 0.615687274581952 0.606639949998162 0.527430078371652 1.02952531529213 0.665020707231602 0.768081928739065 0.685701003370395 0.818624710486383 0.817489087815344 0.762616822429907 1.23305035915953 0.769085053987498 1.15394334166269 1.37197306204327 0.636892900402454 0.577309236947791 0.6653885192286 1.67376547317982 0.533518905126421 0.785801901257283 0.887449392712551 0.836770771950501 0.657945661428903 0.697250330746952 1.47184160493018 0.564763205492599 0.624214824120603 0.870423230080699 1.04411380840512 1.23756196725989 1.09023883289541 0.547359263421177 0.540009818360334 0.891833810888252 0.530171192682828 0.880526810912512 0.612472160356347 0.899857104236666 0.413793103448276 1.15808410164156 1.02246379565928 1.03932212365947
"for" 0.761825762371483 0.669034727730455 0.603732162458836 0.797115202125641 0.623023699946777 0.640530449336938 0.76664900194312 0.671929502478429 0.604148227960134 0.549913846830663 0.619229903174961 0.663613084718866 0.647296265318739 0.735183230282009 0.655737704918033 0.63318155947638 0.884510283330936 0.575150453264265 0.619842425600239 0.713517389745428 0.654104879771063 0.706484380966929 0.792093866824592 0.715782813303278 0.705637673624007 0.798586832517573 0.787682218341234 0.626853346345858 0.716578338433978 0.645392613840086 0.728623993588109 0.757380786058311 0.739144968985626 0.70963709232636 0.760592545396623 0.725410710475784 0.747685274861504 0.70281926363709 0.65473107938152 0.605607476635514 0.783620788998579 0.772873650312559 0.766487913075217 0.616134116635621 0.636892900402454 0.842656339644291 0.657870004887034 0.718754159456941 0.711358540168561 0.63247470101196 0.527935222672065 0.65998821449617 0.789534793714684 0.851002967783459 0.504818724185406 0.616440884426562 0.738065326633166 0.666032350142721 0.853935936159899 0.634830058133314 0.505902192242833 0.540109471852684 0.703649157257405 0.662607449856733 0.671819984620988 0.530573847601129 0.720555482772173 0.749237245587611 0.715750232991612 0.7795517577393 0.558744155992246 0.771216735072157
"on" 0.702887952675122 0.817325930268649 0.778677277716795 0.623141646106156 0.720077643154566 0.637311703360371 0.646528881823 0.642555535156967 0.781159810674568 0.667228800821205 0.72806424979359 0.660006491867133 0.672751736426779 0.59191675463731 0.562060889929742 0.67942515651679 0.582482381705739 0.716081359031005 0.59370449199059 0.699175331660093 0.646671869773665 0.771404567326052 0.618129325979939 0.699964408589394 0.642501671247122 0.655062010083539 0.741347970203514 0.83330205322623 0.649399119205792 0.577666228437114 0.663047834165179 0.654435824846502 0.668573338780968 0.55520829503254 0.748646065625996 0.664959817936135 0.643086816720257 0.575033942975801 0.702818672782422 0.568224299065421 0.706795221449698 0.666792953210835 0.581183142881208 0.641209342312652 0.550931895440159 0.65978198508319 0.620277433179204 0.905097830427259 0.618572643624836 0.705305121128488 0.676923076923077 0.604989196621489 0.568929483706169 0.65791826080738 0.773618304595817 0.557380679930604 0.675251256281407 0.694224195651408 0.630197262930231 0.688326973144549 0.596101807914036 0.634356762243085 0.67092128947799 0.676934097421203 0.849892751628961 0.64346190028222 0.723830734966592 0.668134244776581 0.719478098788444 0.813282362641481 0.570147097951271 0.635509069244009
